Using device: cuda
Selected GPU: 1
Number of classes: 1000
Train samples: 12811
Train batches: 101
Total trainable parameters: 5464040
Epoch 235, Loss: 0.5184, Accuracy: 0.8785, Time: 16.44s
Epoch 236, Loss: 0.4706, Accuracy: 0.8949, Time: 16.62s
Epoch 237, Loss: 0.4956, Accuracy: 0.8860, Time: 16.66s
Epoch 238, Loss: 0.4789, Accuracy: 0.8942, Time: 16.44s
Epoch 239, Loss: 0.4884, Accuracy: 0.8875, Time: 16.50s
Epoch 240, Loss: 0.4787, Accuracy: 0.8900, Time: 16.62s
Epoch 241, Loss: 0.4713, Accuracy: 0.8903, Time: 16.51s
Epoch 242, Loss: 0.4498, Accuracy: 0.8979, Time: 16.51s
Epoch 243, Loss: 0.4573, Accuracy: 0.8947, Time: 16.48s
Epoch 244, Loss: 0.4708, Accuracy: 0.8926, Time: 16.47s
Epoch 245, Loss: 0.4827, Accuracy: 0.8892, Time: 16.46s
Epoch 246, Loss: 0.4818, Accuracy: 0.8914, Time: 16.53s
Epoch 247, Loss: 0.4921, Accuracy: 0.8892, Time: 16.64s
Epoch 248, Loss: 0.4722, Accuracy: 0.8927, Time: 16.49s
Epoch 249, Loss: 0.4838, Accuracy: 0.8884, Time: 16.47s
Epoch 250, Loss: 0.4575, Accuracy: 0.8925, Time: 16.63s
Epoch 251, Loss: 0.4506, Accuracy: 0.8977, Time: 16.48s
Epoch 252, Loss: 0.4843, Accuracy: 0.8902, Time: 16.54s
Epoch 253, Loss: 0.4721, Accuracy: 0.8919, Time: 16.50s
Epoch 254, Loss: 0.4398, Accuracy: 0.8984, Time: 16.61s
Epoch 255, Loss: 0.4582, Accuracy: 0.8935, Time: 16.68s
Epoch 256, Loss: 0.4554, Accuracy: 0.8949, Time: 16.54s
Epoch 257, Loss: 0.4457, Accuracy: 0.8975, Time: 16.57s
Epoch 258, Loss: 0.4738, Accuracy: 0.8988, Time: 16.58s
Epoch 259, Loss: 0.4971, Accuracy: 0.8848, Time: 16.62s
Epoch 260, Loss: 0.4378, Accuracy: 0.8986, Time: 16.46s
Epoch 261, Loss: 0.4141, Accuracy: 0.9057, Time: 16.57s
Epoch 262, Loss: 0.4424, Accuracy: 0.9015, Time: 16.60s
Epoch 263, Loss: 0.4233, Accuracy: 0.9048, Time: 16.44s
Epoch 264, Loss: 0.4298, Accuracy: 0.9033, Time: 16.43s
Epoch 265, Loss: 0.4442, Accuracy: 0.9035, Time: 16.54s
Epoch 266, Loss: 0.5351, Accuracy: 0.8793, Time: 16.59s
Epoch 267, Loss: 0.4688, Accuracy: 0.8929, Time: 16.56s
Epoch 268, Loss: 0.4525, Accuracy: 0.8991, Time: 16.67s
Epoch 269, Loss: 0.4457, Accuracy: 0.8970, Time: 16.37s
Epoch 270, Loss: 0.4259, Accuracy: 0.8987, Time: 16.58s
Epoch 271, Loss: 0.4248, Accuracy: 0.9053, Time: 16.51s
Epoch 272, Loss: 0.4406, Accuracy: 0.9013, Time: 16.64s
Epoch 273, Loss: 0.4475, Accuracy: 0.8959, Time: 16.52s
Epoch 274, Loss: 0.4623, Accuracy: 0.8958, Time: 16.59s
Epoch 275, Loss: 0.4351, Accuracy: 0.9023, Time: 16.55s
Epoch 276, Loss: 0.4582, Accuracy: 0.8949, Time: 16.57s
Epoch 277, Loss: 0.4470, Accuracy: 0.8956, Time: 16.56s
Epoch 278, Loss: 0.4352, Accuracy: 0.8979, Time: 16.56s
Epoch 279, Loss: 0.4127, Accuracy: 0.9056, Time: 16.46s
Epoch 280, Loss: 0.4291, Accuracy: 0.9038, Time: 16.58s
Epoch 281, Loss: 0.4444, Accuracy: 0.8957, Time: 16.56s
Epoch 282, Loss: 0.4025, Accuracy: 0.9080, Time: 16.66s
Epoch 283, Loss: 0.4335, Accuracy: 0.9031, Time: 16.59s
Epoch 284, Loss: 0.4273, Accuracy: 0.8983, Time: 16.56s
Epoch 285, Loss: 0.3937, Accuracy: 0.9045, Time: 16.49s
Epoch 286, Loss: 0.3833, Accuracy: 0.9134, Time: 16.47s
Epoch 287, Loss: 0.3941, Accuracy: 0.9119, Time: 16.62s
Epoch 288, Loss: 0.4193, Accuracy: 0.9066, Time: 16.52s
Epoch 289, Loss: 0.4149, Accuracy: 0.9020, Time: 16.49s
Epoch 290, Loss: 0.4045, Accuracy: 0.9073, Time: 16.60s
Epoch 291, Loss: 0.3803, Accuracy: 0.9131, Time: 16.49s
Epoch 292, Loss: 0.4183, Accuracy: 0.9009, Time: 16.50s
Epoch 293, Loss: 0.4120, Accuracy: 0.9048, Time: 16.52s
Epoch 294, Loss: 0.4014, Accuracy: 0.9080, Time: 16.56s
Epoch 295, Loss: 0.4333, Accuracy: 0.9041, Time: 16.49s
